Marker,delta_T,delta_B,w_T,w_B
ARGLU1,-21.71,0.0,0.0,0.0
ASRGL1,0.0,-14.66,0.0,0.0
CIRBP,-24.06,0.0,0.0,0.0
ESR1,-22.3,0.0,0.0,0.0
EVL,0.0,-16.45,0.0,0.0
FXYD6,0.0,20.31,0.0,0.2433209536360369
HMGA2,0.0,22.13,0.0,0.2651251946807236
IFI6,39.07,0.0,0.2438065522620905,0.0
ITM2C,0.0,20.58,0.0,0.24655564873607283
MDFI,0.0,20.45,0.0,0.24499820294716665
MT-ATP6,40.36,0.0,0.25185647425897034,0.0
MT-ND1,40.3,0.0,0.2514820592823713,0.0
PIGR,0.0,-16.47,0.0,0.0
RSRP1,-27.67,0.0,0.0,0.0
TMSB4X,40.52,0.0,0.25285491419656786,0.0
WFDC2,0.0,-15.55,0.0,0.0
